15A	CLINICAL COMMISSIONING GROUP	READING BOROUGH COUNCIL	NHS Berkshire West Ccg	*	*	0	*	0	0	*	0	0	*	*	*	*	*	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	*	0	0	0	0	0	0	0	*	*	0	0	0
15D	CLINICAL COMMISSIONING GROUP	ROYAL BOROUGH OF WINDSOR AND MAIDENHEAD	NHS East Berkshire Ccg	*	*	*	0	0	0	*	0	0	*	*	*	*	*	0	0	0	0	0	0	0	0	0	0	0	*	0	0	0	0	0	0	0	0	0	0	0	0	*	*	0	0	0
AAH01	INDEPENDENT SECTOR H/C PROVIDER SITE	GLOUCESTERSHIRE COUNTY COUNCIL	Tetbury Hospital Trust	750	750	290	460	0	0	750	0	0	153.374666666667	126	6.71428571428571	3	67.5393858477971	0	0	0	0	0	0	0	*	*	20	20	20	20	30	25	20	25	55	60	110	115	125	75	25	745	47	0	0	0
ACG07	INDEPENDENT SECTOR H/C PROVIDER SITE	LEICESTER CITY COUNCIL	Newmedica Community Ophthalmology - Leicestershire - Leicester (Stoneygate Eye Hospital)	1390	1390	625	770	0	0	0	1390	0					72.6319194823868	0	0	0	0	0	0	0	0	0	0	0	*	*	*	15	20	70	140	210	295	300	210	90	30	1390	0	0	0	0
ACG08	INDEPENDENT SECTOR H/C PROVIDER SITE	WARWICKSHIRE COUNTY COUNCIL	Newmedica Ophthalmology - Nuneaton - Camp Hill - Gp Led Health Centre	2275	2275	990	1285	0	0	0	2275	0					75.7430830039526	0	0	0	0	0	0	0	0	0	0	*	*	10	20	45	40	85	140	220	320	405	495	330	170	2275	0	0	0	0
ACG09	INDEPENDENT SECTOR H/C PROVIDER SITE	DERBYSHIRE COUNTY COUNCIL	Newmedica Community Ophthalmology - North Derbyshire - Barlborough Treatment Centre	1030	1030	460	570	0	0	0	1030	0					73.8764591439689	0	0	0	0	0	0	0	0	0	0	*	0	*	*	*	15	45	80	135	210	230	180	90	25	1030	0	0	0	0
ACG12	INDEPENDENT SECTOR H/C PROVIDER SITE	NORTH EAST LINCOLNSHIRE COUNCIL	Newmedica Community Ophthalmology - North East Lincolnshire - Grimsby	2125	2125	970	1155	0	0	0	2125	0					73.3554301833568	0	0	0	0	0	0	0	0	0	*	10	*	*	*	20	30	100	155	270	450	530	350	145	50	2125	0	0	0	0
ACG13	INDEPENDENT SECTOR H/C PROVIDER SITE	GLOUCESTERSHIRE COUNTY COUNCIL	Newmedica Community Ophthalmology - Gloucestershire - Gloucester (Aspen Centre) (Acg13)	2810	2810	1170	1640	0	0	0	2810	0					74.2951228195087	0	0	0	0	0	0	0	0	0	*	*	*	10	10	20	50	120	190	330	565	640	515	270	80	2810	0	0	0	0
ACG19	INDEPENDENT SECTOR H/C PROVIDER SITE	LEEDS CITY COUNCIL	Newmedica Community Ophthalmology - Leeds	1890	1890	785	1105	0	0	0	1890	0					72.4169312169312	0	0	0	0	0	0	0	0	0	*	0	*	0	10	25	55	90	200	240	410	390	290	130	35	1890	0	0	0	0
ACG20	INDEPENDENT SECTOR H/C PROVIDER SITE	BRISTOL CITY COUNCIL	Newmedica - Bristol - Litfield House	2060	2060	870	1190	0	0	0	2060	0					74.5250121418164	0	0	0	0	0	0	0	0	0	0	*	*	*	10	30	40	85	115	205	415	495	360	220	70	2060	0	0	0	0
ACG22	INDEPENDENT SECTOR H/C PROVIDER SITE	NORTH LINCOLNSHIRE COUNCIL	Newmedica - Brigg - Riverside Surgery	255	255	110	150	0	0	0	255	0					75.03125	0	0	0	0	0	0	0	0	0	0	0	*	*	0	*	*	*	15	35	60	50	55	25	10	255	0	0	0	0
ACG24	INDEPENDENT SECTOR H/C PROVIDER SITE	MIDDLESBROUGH BOROUGH COUNCIL	Newmedica - Teesside - North Ormesby	3940	3940	1685	2255	0	0	0	3940	0					73.4521695001269	0	0	0	0	0	0	0	0	0	*	0	*	*	15	35	105	185	285	520	875	840	675	325	80	3940	0	0	0	0
ACG36	INDEPENDENT SECTOR H/C PROVIDER SITE	DEVON COUNTY COUNCIL	Newmedica - Exeter - Glen House	760	760	305	455	0	0	0	760	0					74.6714848883049	0	0	0	0	0	0	0	0	0	0	0	0	0	*	*	10	20	55	100	170	175	130	70	25	760	0	0	0	0
ACG37	INDEPENDENT SECTOR H/C PROVIDER SITE	SUFFOLK COUNTY COUNCIL	Newmedica - Ipswich	990	990	410	580	0	0	0	990	0					74.8546922300706	0	0	0	0	0	0	0	0	0	0	0	0	*	0	*	15	35	45	105	250	245	160	100	30	990	0	0	0	0
ACG38	INDEPENDENT SECTOR H/C PROVIDER SITE	NORTH SOMERSET COUNCIL	Newmedica - Langford	*	*	*	0	0	0	0	*	0	*	*	*	*	*	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	*	0	0	0	0	0	*	*	0	0	0
ACG40	INDEPENDENT SECTOR H/C PROVIDER SITE	WAKEFIELD METROPOLITAN DISTRICT COUNCIL	Newmedica - Wakefield	80	80	25	55	0	0	0	80	0					69.3	0	0	0	0	0	0	0	0	0	0	0	0	*	*	*	*	*	10	15	20	10	10	*	0	80	0	0	0	0
ACG41	INDEPENDENT SECTOR H/C PROVIDER SITE	SOMERSET COUNCIL	Newmedica - Frome	130	130	60	70	0	0	0	130	0					73.1627906976744	0	0	0	0	0	0	0	0	0	0	0	0	0	*	0	*	*	10	15	30	40	15	10	*	130	0	0	0	0
ADP02	INDEPENDENT SECTOR H/C PROVIDER SITE	KENT COUNTY COUNCIL	Kims Hospital (Newnham Court)	1385	1385	580	805	0	0	160	1225	*	50.7905405405405	40	1.82994923857868	2	56.1532899493854	0	0	0	0	0	0	0	*	*	35	50	60	80	100	125	150	165	145	165	135	100	50	15	*	990	721	0	0	0
AHR01	INDEPENDENT SECTOR H/C PROVIDER SITE	CITY OF WESTMINSTER	King Edward Vii's Hospital Sister Agnes	260	260	20	245	0	0	260	0	0			1.97101449275362	1	56.2192307692308	0	0	0	0	0	0	0	*	0	*	*	*	15	15	30	40	40	30	25	20	10	10	*	*	125	272	0	0	0
AVQ01	INDEPENDENT SECTOR H/C PROVIDER SITE	KENT COUNTY COUNCIL	One Ashford Hospital	270	270	145	125	0	0	270	0	0	176.864197530864	210	2.07	2	59.6333333333333	0	0	0	0	0	0	0	0	*	*	*	10	10	10	15	25	35	35	40	40	20	10	*	*	170	207	0	0	0
AVQ03	INDEPENDENT SECTOR H/C PROVIDER SITE	HERTFORDSHIRE COUNTY COUNCIL	One Hatfield Hospital	25	25	15	10	0	0	25	0	0	231.272727272727	264	2.23076923076923	2	60.8461538461538	0	0	0	0	0	0	0	0	0	0	*	0	0	*	*	*	*	*	*	*	*	*	0	0	15	29	0	0	0
AXG01	INDEPENDENT SECTOR H/C PROVIDER SITE	WILTSHIRE COUNCIL	Wiltshire Health & Care (Chippenham)	355	355	165	190	0	*	0	0	355			26.8926553672316	21	79.8816901408451	0	0	0	0	0	0	0	0	0	0	*	0	0	*	*	*	10	15	10	30	55	85	75	60	0	9558	0	0	*
AXG02	INDEPENDENT SECTOR H/C PROVIDER SITE	WILTSHIRE COUNCIL	Savernake Community Hospital	340	340	140	200	0	25	40	30	240	1	1	21.4497041420118	18	82.8541666666667	0	0	0	0	0	0	0	0	0	0	0	0	*	0	0	*	10	*	10	25	40	60	95	90	0	7250	0	0	*
AXG03	INDEPENDENT SECTOR H/C PROVIDER SITE	WILTSHIRE COUNCIL	Warminster Community Hospital	215	210	100	115	0	25	0	0	190			31.6462264150943	25	82.0990566037736	0	0	0	0	0	0	0	0	0	0	0	0	0	*	*	0	*	*	15	15	25	40	55	50	0	6671	*	0	*
DLY01	INDEPENDENT SECTOR H/C PROVIDER SITE	CITY OF WESTMINSTER	Schoen Clinic London (Wigmore Street)	485	485	200	285	0	0	485	0	0			2.44061302681992	2	54.2606837606838	0	0	0	0	0	0	*	*	*	20	25	30	25	25	30	40	55	45	50	55	30	15	*	*	220	637	0	0	0
DM801	INDEPENDENT SECTOR H/C PROVIDER SITE	CITY OF WESTMINSTER	Weymouth Street Hospital	305	305	110	195	0	0	305	0	0					35.6	0	0	0	0	0	0	0	0	0	*	0	*	*	*	0	0	0	0	0	0	0	0	0	0	295	12	0	0	0
DX101	INDEPENDENT SECTOR H/C PROVIDER SITE	OXFORDSHIRE COUNTY COUNCIL	The New Foscote Hospital (Foscote Hospital)	620	620	335	285	0	0	595	25	0	45.8524904214559	15	1.23076923076923	0	52.9070146818923	0	0	0	0	0	0	0	*	*	30	35	45	45	50	40	60	65	55	40	65	40	25	*	0	605	20	0	*	0
L0D9W	INDEPENDENT SECTOR H/C PROVIDER SITE	GLOUCESTERSHIRE COUNTY COUNCIL	Newmedica - Gloucester (Brighouse Court)	40	40	15	20	0	0	0	40	0					73.3947368421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	*	*	*	*	*	*	*	*	*	*	40	0	0	0	0
NAM01	INDEPENDENT SECTOR H/C PROVIDER SITE	CORNWALL COUNCIL	Probus Surgical Centre	1510	1510	805	700	0	0	1510	0	0	56.53125	43	1.12	0	69.5431034482759	0	0	0	0	0	0	0	0	0	*	10	30	50	40	30	60	65	105	140	315	295	230	110	20	1485	28	0	25	0
NAX03	INDEPENDENT SECTOR H/C PROVIDER SITE	SUFFOLK COUNTY COUNCIL	Ecch Beccles Hospital	195	165	95	105	0	100	65	0	0	23.4545454545455	1	17.4083769633508	15	79.1794871794872	0	0	0	0	0	0	0	0	0	0	0	*	0	*	*	*	*	*	15	20	40	35	35	35	*	3229	0	*	0
NCR01	INDEPENDENT SECTOR H/C PROVIDER SITE	SEFTON METROPOLITAN BOROUGH COUNCIL	Isight (Southport)	2030	2030	810	1220	0	0	2030	0	0					78.3133004926108	0	0	0	0	0	0	0	0	0	*	*	*	*	*	10	15	40	50	145	305	440	480	400	130	2030	0	0	0	0
NDAH9	INDEPENDENT SECTOR H/C PROVIDER SITE	KENT COUNTY COUNCIL	Gravesham Community Hospital	240	240	100	140	0	0	0	240	0			29.6333333333333	24	76.0166666666667	0	0	0	0	0	0	0	0	0	0	0	*	*	*	*	10	10	10	15	30	30	55	40	25	0	7112	0	*	0
NDAJ0	INDEPENDENT SECTOR H/C PROVIDER SITE	KENT COUNTY COUNCIL	Livingstone Community Hospital	235	235	75	160	0	0	0	235	0			21.2179487179487	19	82.7948717948718	0	0	0	0	0	0	0	0	0	0	*	0	0	*	*	*	*	*	10	15	30	45	75	50	0	4965	0	0	0
NDAJ1	INDEPENDENT SECTOR H/C PROVIDER SITE	KENT COUNTY COUNCIL	Sheppey Community Hospital	260	260	130	130	0	0	0	260	0			27.0076923076923	18	78.7540307692308	*	0	0	0	0	0	0	0	0	0	0	0	*	*	*	*	*	15	20	25	35	45	55	50	0	7022	0	*	0
NDAJ2	INDEPENDENT SECTOR H/C PROVIDER SITE	KENT COUNTY COUNCIL	Sittingbourne Memorial Hospital	190	190	80	110	0	0	0	190	0			29.5625	27	82.6302083333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	*	*	*	*	10	10	25	35	65	40	0	5676	0	0	0
NEQ01	INDEPENDENT SECTOR H/C PROVIDER SITE	WAKEFIELD METROPOLITAN DISTRICT COUNCIL	Phoenix Health Solutions Limited	1660	1660	775	885	0	0	1660	0	0	34.0906832298137	16	2.88235294117647	3	58.7228915662651	0	0	0	0	0	0	0	*	*	30	45	55	90	90	110	175	195	195	190	215	130	80	40	*	1610	147	0	0	0
